Generated by WizTree 4.25 5/23/2025 12:22:27 AM (You can hide this message by making a donation)
File Name,Size,Allocated,Modified,Attributes,Files,Folders,MFTRECNO,MFTPARENTRECNO,DRIVECAPACITY,FREESPACE,USEDSPACE,RESERVEDSPACE
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\",5608394,5664768,2025/05/23 00:08:20,0,25,9,5,0,4000768323584,2073123098624,1927645224960,904359936
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\",5608394,5664768,2025/05/23 00:08:20,16,25,8,24,5
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\",5608350,5664768,2025/05/23 00:08:20,16,24,7,25,24
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\",3162867,3211264,2025/05/23 00:08:20,16,21,1,27,25
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\",3162867,3211264,2025/05/23 00:08:20,16,21,0,30,27
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\setitems.txt",914027,917504,2025/05/20 12:53:12,32,0,0,47,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\monstats.txt",807023,811008,2025/05/20 12:53:12,32,0,0,45,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\skills.txt",213469,217088,2025/05/20 12:53:12,32,0,0,50,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\uniqueitems.txt",197036,200704,2025/05/20 12:53:12,32,0,0,52,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\levels.txt",167738,167936,2025/05/20 12:53:12,32,0,0,40,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\treasureclassex.txt",128629,131072,2025/05/20 12:53:12,32,0,0,51,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\sets.txt",125785,126976,2025/05/20 12:53:12,32,0,0,48,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\weapons.txt",118975,122880,2025/05/20 12:53:12,32,0,0,53,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\skilldesc.txt",80244,81920,2025/05/20 12:53:12,32,0,0,49,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\magicsuffix.txt",75830,77824,2025/05/20 12:53:12,32,0,0,42,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\armor.txt",75780,77824,2025/05/20 12:53:12,32,0,0,33,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\magicprefix.txt",66364,69632,2025/05/20 12:53:12,32,0,0,41,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\misc.txt",54532,57344,2025/05/20 12:53:12,32,0,0,43,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\cubemain.txt",40724,40960,2025/05/20 12:53:12,32,0,0,35,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\hireling.txt",34006,36864,2025/05/20 12:53:12,32,0,0,39,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\runes.txt",23417,24576,2025/05/20 12:53:12,32,0,0,46,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\monlvl.txt",16589,20480,2025/05/20 12:53:12,32,0,0,44,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\gems.txt",10991,12288,2025/05/20 12:53:12,32,0,0,38,30
"F:\Galydev\DiabloModWiki\Sample Mods\RandoFun4\RandoFun4.mpq\data\global\excel\experience.txt",7162,8192,2025/05/20 12:53:12,32,0,0,37,30
